koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,target
6540.0,183.0,-252.0,4.321,0.105,-0.195,-0.38,0.25,-0.3,1.183,0.34,-0.183,1.066,0.175,-0.117,287.3717,46.564838,14.114,14.434,14.078,13.977,13.965,13.106,12.818,12.823,0.001,19.1581233,6.2e-06,46.564796,6.9e-05,0.32,0.23,-0.16,0.25,-0.00073,0.00063,0.00066,0.00076,-0.001,0.076,0.111,0.074,0.111,0.074,0.035,0.076,-0.021,0.074,0.041,0.076,0
5220.0,173.0,-157.0,4.578,0.084,-0.056,-0.64,0.35,-0.3,0.695,0.074,-0.066,0.665,0.084,-0.034,288.27121,45.87661,15.695,16.375,15.68,15.403,15.281,14.299,13.84,13.692,0.0,19.217678,3.6e-06,45.875671,3.8e-05,-15.11,0.14,-3.38,0.14,0.04258,0.00049,0.00876,0.00058,-3.675,0.069,-0.732,0.073,3.747,0.07,-3.976,0.07,-1.122,0.068,4.131,0.07,0
6063.0,190.0,-232.0,4.47,0.054,-0.216,-0.02,0.25,-0.3,1.001,0.318,-0.106,1.079,0.145,-0.145,296.13141,47.43882,15.44,15.941,15.399,15.225,15.191,14.247,13.96,13.851,0.0,19.742178,2.1e-05,47.43852,0.00021,3.07,0.78,-1.07,0.77,-0.00155,0.00039,0.00045,0.00038,-0.05,0.51,-0.2,0.33,0.21,0.41,-0.07,0.52,0.04,0.35,0.08,0.41,1
5040.0,136.0,-151.0,4.628,0.03,-0.07,-0.24,0.3,-0.3,0.705,0.086,-0.058,0.782,0.063,-0.087,284.17233,49.360722,15.716,16.453,15.673,15.4,15.253,14.249,13.732,13.748,0.0,18.9449095,1.8e-06,49.360813,1.7e-05,3.101,0.063,0.336,0.06,-0.0247,0.001,-0.0016,0.0015,3.254,0.071,0.163,0.07,3.258,0.071,3.353,0.07,0.066,0.076,3.353,0.07,0
5368.6,109.4,-162.0,3.5835999999999997,0.11539999999999999,-0.1116,-0.03000000000000001,0.176,-0.34199999999999997,5.9348,0.6548,-1.7338,1.8314,0.16340000000000002,-0.7252000000000001,291.58682,42.890133,11.58,12.644,11.541,11.124,10.807400000000001,9.223,8.437,8.299,0.119,19.439133,1.4e-05,42.89,0.00018,0.44,0.57,-0.49,0.65,-5.6e-06,8.9e-06,9e-06,1e-05,-1.4,1.1,-1.6,1.0,2.1,1.2,-1.45,0.96,-1.53,0.99,2.1,1.1,0
6468.0,71.0,-77.0,4.107,0.168,-0.112,-0.1,0.15,-0.15,1.602,0.293,-0.322,1.195,0.139,-0.086,295.25388,46.76136,13.616,13.886,13.554,13.5,13.457,12.661,12.433,12.376,0.0,19.6835321,9.6e-06,46.76239,0.0001,-2.24,0.36,3.72,0.37,0.000177,2.8e-05,-0.000301,2.9e-05,-4.01,0.43,6.54,0.56,7.67,0.53,-3.96,0.39,6.51,0.58,7.62,0.54,0
6216.4,171.4,-199.0,4.1758,0.21939999999999998,-0.2522,-0.368,0.272,-0.28400000000000003,1.4222000000000001,0.6174000000000001,-0.39180000000000004,1.0534,0.211,-0.14900000000000002,288.10455,41.07925,13.854,14.252,13.795,13.684,13.628,12.789,12.495,12.439,0.273,19.207032,6.1e-05,41.07871,0.00057,2.5,2.5,-1.9,2.1,-0.00028,0.00042,0.00023,0.00035,-2.77,0.55,0.73,0.63,2.86,0.57,-2.62,0.55,0.54,0.68,2.68,0.54,0
5757.0,155.0,-155.0,4.209,0.306,-0.204,-0.4,0.3,-0.25,1.177,0.361,-0.361,0.818,0.123,-0.061,298.70334,41.633961,13.242,13.75,13.203,13.025,12.944,12.025,11.679,11.591,0.0,19.913551052,1.4e-08,41.63393024,1.8e-07,-0.17146,0.00055,-0.10713,0.00066,-0.001,0.022,0.012,0.029,-0.004,0.067,-0.025,0.067,0.026,0.067,-0.083,0.067,-0.105,0.067,0.134,0.067,0
6243.0,99.0,-136.0,4.406,0.026,-0.136,0.21,0.15,-0.2,1.149,0.201,-0.067,1.226,0.076,-0.102,298.39575,42.459751,12.949,13.355,12.895,12.775,12.729,11.902,11.664,11.596,0.679,19.89305,1.1e-05,42.45977,0.0001,-0.04,0.43,0.07,0.38,2e-05,3.4e-05,5e-06,3e-05,-0.16,0.2,-0.14,0.24,0.21,0.26,-0.01,0.22,0.05,0.23,0.06,0.21,1
6584.0,162.0,-255.0,4.331,0.087,-0.203,-0.12,0.25,-0.3,1.246,0.421,-0.18,1.218,0.183,-0.183,292.2677,47.394798,14.182,14.498,14.123,14.046,14.003,13.155,12.918,12.884,0.0,19.48451235,1e-07,47.3947142,1e-06,-0.0602,0.0037,-0.3089,0.0036,0.001,0.016,0.001,0.024,-0.017,0.067,-0.015,0.067,0.022,0.067,-0.056,0.067,-0.258,0.067,0.264,0.067,0
